Artist,Album,# Items,Total Time
Anne-Marie,To Be Young (feat. Doja Cat) - Single,1,3:24
Anne-Marie,To Be Young (feat. Doja Cat) [220 KID Remix] -…,1,3:54
Anne-Marie,To Be Young (feat. Doja Cat) [Acoustic] - Single,1,3:14
Anne-Marie,To Be Young (feat. Doja Cat) [Felix Cartal Remix…,1,3:54
Arctic Monkeys,AM,12,41:47:00
Arctic Monkeys,Beneath the Boardwalk,18,54:20:00
Arctic Monkeys,Favourite Worst Nightmare,12,37:23:00
Arctic Monkeys,Humbug (Bonus Track Version),11,40:47:00
Arctic Monkeys,Suck It And See,12,40:10:00
Arctic Monkeys,Tranquility Base Hotel & Casino,11,40:57:00
Ariana Grande,Break Free (feat. Zedd) - Single,1,3:35
Ariana Grande,Christmas Kisses,5,16:42
Ariana Grande,Dangerous Woman,16,59:14:00
Ariana Grande,Focus - Single,1,3:31
Ariana Grande,MONOPOLY - Single,1,2:39
Ariana Grande,My Everything,18,1:00:44
Ariana Grande,One Last Time (feat. Fedez) - Single,1,3:18
Ariana Grande,Positions (Deluxe),19,51:49:00
Artist,Album,# Items,Total Time
Ariana Grande,Problem (feat. Iggy Azalea) - Single,4,14:14
Ariana Grande,Put Your Hearts Up - Single,1,3:30
Ariana Grande,The Remix,15,57:56:00
Ariana Grande,Save Your Tears (Remix) - Single,1,3:11
Ariana Grande,Stuck with U - Single,1,3:48
Ariana Grande,Sweetener,15,47:32:00
Ariana Grande,"thank u, next",12,41:10:00
Ariana Grande,Yours Truly,15,58:53:00
Ariel Pink,Another Weekend - Single,1,4:15
Ariel Pink,Before Today,12,44:52:00
Ariel Pink,Dedicated To Bobby Jameson,13,49:56:00
Ariel Pink,FF>>,19,1:06:18
Ariel Pink,Holy Shit EP,9,33:02:00
Ariel Pink,Pom Pom,17,1:07:03
Ariel Pink,Scared Famous,20,1:18:44
Ariel Pink,Underground,17,50:15:00
Ariel Pink,Worn Copy,16,1:11:56
Arizona Zervas,NIGHTRIDER - Single,1,2:36
Arizona Zervas,RIP - Single,1,2:54
Arizona Zervas,Roxanne - Single,1,2:44
Arizona Zervas,ROXANNE (Remix) - Single,1,2:55
Arizona Zervas,24 - Single,1,2:04
Armin van Buuren,Another You (feat. Mr. Probz) - Single,3,13:18
Armin van Buuren,Another You (feat. Mr. Probz) [Headhunterz Radi…,1,3:08
Armin van Buuren,Clear Blue Moon (Will Rees Remix) - Single,2,10:38
Armin van Buuren,Communication (Paul Oakenfold Full On Fluoro…,1,3:17
Armin van Buuren,Embrace,15,1:14:27
Armin van Buuren,In and Out of Love (feat. Sharon Den Adel) [Lost…,1,3:08
Armin Van Buuren,Ping Pong - EP,4,21:37
Armin Van Buuren,Ping Pong (Hardwell Remix) - Single,1,3:01
Armin van Buuren,Weight of the World (feat. RBVLN) [Club Mix] - S…,2,5:01
Ashanti,Early In The Morning (feat. French Montana) - Si…,1,4:08
